stamp,x,y,d0,d1,d2,r0,r1,r2,a0.x,a0.y,a1.x,a1.y,a2.x,a2.y,raw
2020-05-27 14:22:48.162,46,159,76,261,128,0,0,0,0,0,0,200,200,0,b'\xff\x02\x00\x04\x00\x00\x00\x00\x00\x00.\x00\x9f\x00L\x01\x05\x00\x80\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaaU'
2020-05-27 14:22:48.285,46,159,76,261,128,0,0,0,0,0,0,200,200,0,b'\xff\x02\x00\x04\x00\x00\x00\x00\x00\x00.\x00\x9f\x00L\x01\x05\x00\x80\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaaU'
2020-05-27 14:22:48.379,46,159,76,261,128,0,0,0,0,0,0,200,200,0,b'\xff\x02\x00\x04\x00\x00\x00\x00\x00\x00.\x00\x9f\x00L\x01\x05\x00\x80\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaaU'
2020-05-27 14:22:48.488,46,159,76,261,128,0,0,0,0,0,0,200,200,0,b'\xff\x02\x00\x04\x00\x00\x00\x00\x00\x00.\x00\x9f\x00L\x01\x05\x00\x80\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaaU'
2020-05-27 14:22:48.597,46,159,76,261,128,0,0,0,0,0,0,200,200,0,b'\xff\x02\x00\x04\x00\x00\x00\x00\x00\x00.\x00\x9f\x00L\x01\x05\x00\x80\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaaU'
2020-05-27 14:22:48.707,46,159,76,261,128,0,0,0,0,0,0,200,200,0,b'\xff\x02\x00\x04\x00\x00\x00\x00\x00\x00.\x00\x9f\x00L\x01\x05\x00\x80\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaaU'
2020-05-27 14:22:48.816,46,159,76,261,128,0,0,0,0,0,0,200,200,0,b'\xff\x02\x00\x04\x00\x00\x00\x00\x00\x00.\x00\x9f\x00L\x01\x05\x00\x80\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaaU'
2020-05-27 14:22:48.936,46,159,76,261,128,0,0,0,0,0,0,200,200,0,b'\xff\x02\x00\x04\x00\x00\x00\x00\x00\x00.\x00\x9f\x00L\x01\x05\x00\x80\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaaU'
2020-05-27 14:22:49.036,46,159,76,261,128,0,0,0,0,0,0,200,200,0,b'\xff\x02\x00\x04\x00\x00\x00\x00\x00\x00.\x00\x9f\x00L\x01\x05\x00\x80\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaaU'
2020-05-27 14:22:49.144,46,159,76,261,128,0,0,0,0,0,0,200,200,0,b'\xff\x02\x00\x04\x00\x00\x00\x00\x00\x00.\x00\x9f\x00L\x01\x05\x00\x80\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaaU'
2020-05-27 14:22:49.256,46,159,76,261,128,0,0,0,0,0,0,200,200,0,b'\xff\x02\x00\x04\x00\x00\x00\x00\x00\x00.\x00\x9f\x00L\x01\x05\x00\x80\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaaU'
2020-05-27 14:22:49.366,46,159,76,261,128,0,0,0,0,0,0,200,200,0,b'\xff\x02\x00\x04\x00\x00\x00\x00\x00\x00.\x00\x9f\x00L\x01\x05\x00\x80\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaaU'
2020-05-27 14:22:49.473,46,159,76,261,128,0,0,0,0,0,0,200,200,0,b'\xff\x02\x00\x04\x00\x00\x00\x00\x00\x00.\x00\x9f\x00L\x01\x05\x00\x80\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaaU'
2020-05-27 14:22:49.584,46,159,76,261,128,0,0,0,0,0,0,200,200,0,b'\xff\x02\x00\x04\x00\x00\x00\x00\x00\x00.\x00\x9f\x00L\x01\x05\x00\x80\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaaU'
2020-05-27 14:22:49.691,46,159,76,261,128,0,0,0,0,0,0,200,200,0,b'\xff\x02\x00\x04\x00\x00\x00\x00\x00\x00.\x00\x9f\x00L\x01\x05\x00\x80\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaaU'
2020-05-27 14:22:49.801,46,159,76,261,128,0,0,0,0,0,0,200,200,0,b'\xff\x02\x00\x04\x00\x00\x00\x00\x00\x00.\x00\x9f\x00L\x01\x05\x00\x80\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaaU'
2020-05-27 14:22:49.913,46,159,76,261,128,0,0,0,0,0,0,200,200,0,b'\xff\x02\x00\x04\x00\x00\x00\x00\x00\x00.\x00\x9f\x00L\x01\x05\x00\x80\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaaU'
2020-05-27 14:22:50.019,46,159,76,261,128,0,0,0,0,0,0,200,200,0,b'\xff\x02\x00\x04\x00\x00\x00\x00\x00\x00.\x00\x9f\x00L\x01\x05\x00\x80\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaaU'
